Purchase{id_porzadkowe_zakupu=7, person=Person{imie='Ilario', nazwisko='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.7}, localization=Localization{country='Poland', city='Wapno'}, dateTime=2020-06-04T00:00}
Purchase{id_porzadkowe_zakupu=849, person=Person{imie='Jocelyne', nazwisko='Orgel', email='jorgelnk@dropbox.com', ip='212.210.162.216'}, car=Car{color='#aa47e9', vin='WBA3C3C54FK696689', company='Ford', model='Five Hundred', model_year='2007', price=63582.71}, localization=Localization{country='Poland', city='Koło'}, dateTime=2020-09-27T00:00}
Purchase{id_porzadkowe_zakupu=857, person=Person{imie='Marrilee', nazwisko='Lockett', email='mlockettns@jimdo.com', ip='111.25.31.216'}, car=Car{color='#00c3fd', vin='1G6DF8EY6B0927037', company='Ford', model='Festiva', model_year='1990', price=12769.3}, localization=Localization{country='Poland', city='Żółkiewka'}, dateTime=2020-08-01T00:00}
Purchase{id_porzadkowe_zakupu=863, person=Person{imie='Krista', nazwisko='Stidworthy', email='kstidworthyny@blogs.com', ip='120.85.58.34'}, car=Car{color='#535dfb', vin='KMHGC4DE8AU481480', company='Ford', model='Tempo', model_year='1994', price=26658.03}, localization=Localization{country='Czech Republic', city='Červená Voda'}, dateTime=2020-02-22T00:00}
Purchase{id_porzadkowe_zakupu=868, person=Person{imie='Tomaso', nazwisko='Batram', email='tbatramo3@weibo.com', ip='7.178.208.251'}, car=Car{color='#9225f2', vin='1FMJK1G53AE842351', company='Ford', model='Mustang', model_year='1984', price=7797.95}, localization=Localization{country='Poland', city='Trzebieszów'}, dateTime=2020-10-24T00:00}
Purchase{id_porzadkowe_zakupu=873, person=Person{imie='Wolfy', nazwisko='Mellsop', email='wmellsopo8@mail.ru', ip='81.216.21.68'}, car=Car{color='#f0dc89', vin='1S80G6KD57Y89U071624', company='Ford', model='Taurus', model_year='1995', price=29025.54}, localization=Localization{country='Czech Republic', city='Libušín'}, dateTime=2020-11-01T00:00}
Purchase{id_porzadkowe_zakupu=875, person=Person{imie='Jobye', nazwisko='Hagergham', email='jhagerghamoa@alexa.com', ip='161.209.113.42'}, car=Car{color='#741c62', vin='1GYS4KEF7CR319654', company='Ford', model='Thunderbird', model_year='2002', price=7168.15}, localization=Localization{country='Poland', city='Opatówek'}, dateTime=2020-01-19T00:00}
Purchase{id_porzadkowe_zakupu=879, person=Person{imie='Chuck', nazwisko='Issakov', email='cissakovoe@sciencedirect.com', ip='223.65.229.197'}, car=Car{color='#57d774', vin='1G6DL67A380538037', company='Ford', model='Crown Victoria', model_year='2000', price=73911.07}, localization=Localization{country='Czech Republic', city='Třebíč'}, dateTime=2020-01-26T00:00}
Purchase{id_porzadkowe_zakupu=897, person=Person{imie='Carree', nazwisko='McQuilliam', email='cmcquilliamow@apache.org', ip='156.82.244.189'}, car=Car{color='#8eef36', vin='WAUMF98P56A475178', company='Ford', model='F350', model_year='1993', price=24466.36}, localization=Localization{country='Poland', city='Lipka'}, dateTime=2020-08-25T00:00}
Purchase{id_porzadkowe_zakupu=903, person=Person{imie='Lorie', nazwisko='Hainning', email='lhainningp2@ca.gov', ip='24.94.61.26'}, car=Car{color='#648e60', vin='JM1BL1L33C1799234', company='Ford', model='F250', model_year='2005', price=90231.67}, localization=Localization{country='Czech Republic', city='Zlonice'}, dateTime=2020-04-11T00:00}
Purchase{id_porzadkowe_zakupu=912, person=Person{imie='Ethel', nazwisko='Earey', email='eeareypb@japanpost.jp', ip='94.73.137.15'}, car=Car{color='#7fafd8', vin='3N1AB7APXFY406422', company='Ford', model='Econoline E350', model_year='1992', price=24240.3}, localization=Localization{country='Poland', city='Rączna'}, dateTime=2020-04-08T00:00}
Purchase{id_porzadkowe_zakupu=943, person=Person{imie='Carmencita', nazwisko='Tapner', email='ctapnerq6@quantcast.com', ip='158.69.125.245'}, car=Car{color='#475c40', vin='1N6AF0KX0EN805842', company='Ford', model='Taurus', model_year='1998', price=56689.77}, localization=Localization{country='Poland', city='Trawniki'}, dateTime=2020-04-09T00:00}
Purchase{id_porzadkowe_zakupu=950, person=Person{imie='Rasla', nazwisko='Chambers', email='rchambersqd@europa.eu', ip='147.141.190.231'}, car=Car{color='#74723d', vin='19UYA42763A414787', company='Ford', model='Tempo', model_year='1985', price=10645.96}, localization=Localization{country='Czech Republic', city='Solnice'}, dateTime=2020-07-14T00:00}
Purchase{id_porzadkowe_zakupu=953, person=Person{imie='Puff', nazwisko='Brignell', email='pbrignellqg@mit.edu', ip='102.112.241.176'}, car=Car{color='#c5592a', vin='WAUFL54D01N361760', company='Ford', model='E150', model_year='2012', price=59923.71}, localization=Localization{country='Poland', city='Chwaszczyno'}, dateTime=2020-05-23T00:00}
Purchase{id_porzadkowe_zakupu=955, person=Person{imie='Krysta', nazwisko='Mannooch', email='kmannoochqi@dot.gov', ip='216.79.55.159'}, car=Car{color='#da0a25', vin='1GYUKHEF9AR264767', company='Ford', model='Crown Victoria', model_year='1998', price=91469.34}, localization=Localization{country='Poland', city='Zwierzyniec'}, dateTime=2020-05-10T00:00}
Purchase{id_porzadkowe_zakupu=965, person=Person{imie='Lorianne', nazwisko='Lello', email='llelloqs@miitbeian.gov.cn', ip='30.208.135.91'}, car=Car{color='#cf790e', vin='1G6AF5SX5E0537516', company='Ford', model='Crown Victoria', model_year='2007', price=78505.53}, localization=Localization{country='Czech Republic', city='Liběšice'}, dateTime=2020-08-20T00:00}
Purchase{id_porzadkowe_zakupu=979, person=Person{imie='Tawsha', nazwisko='Cloughton', email='tcloughtonr6@oakley.com', ip='55.62.224.210'}, car=Car{color='#ca6618', vin='1C4RDHAG5EC003424', company='Ford', model='Galaxie', model_year='1966', price=64097.32}, localization=Localization{country='Germany', city='Rostock'}, dateTime=2020-06-22T00:00}
Purchase{id_porzadkowe_zakupu=982, person=Person{imie='Vincenz', nazwisko='Ivel', email='vivelr9@rediff.com', ip='214.110.196.118'}, car=Car{color='#3a2b63', vin='WAUAF98E45A019558', company='Ford', model='Windstar', model_year='2001', price=67491.57}, localization=Localization{country='Poland', city='Jadowniki'}, dateTime=2020-12-08T00:00}
